# Local Capacity Area membership by substation, hand-encoded from the "substations that delineate the area" lists
# in CAISO's Final 2027 Local Capacity Technical Report (dated 2026-04-29; section 3.3.x.1 "Area Definition" of each area).
# The report names only the BOUNDARY substations of each area; interior substations are not listed and are therefore
# not encoded here. relation = in (inside the area) | out (explicitly outside that area's boundary).
# A station whose low-voltage bus is in and high-voltage yard is out (Gates 70 vs 230) is encoded OUT with a note,
# because queue POIs sit on the high side. utility disambiguates same-name stations (Eagle Rock: PG&E vs SCE).
# substation = spelling as the CAISO queue files use it where known (joined on the same node key as the queue).
# No "#" inside a value: the reader treats it as the start of a comment.
substation,utility,lcr_area,lcr_sub_area,relation,note,source,source_date
Bridgeville,PGAE,Humboldt,,in,,Final 2027 LCT Report,2026-04-29
Humboldt,PGAE,Humboldt,,in,,Final 2027 LCT Report,2026-04-29
Kekawaka,PGAE,Humboldt,,in,,Final 2027 LCT Report,2026-04-29
Garberville,PGAE,Humboldt,,in,,Final 2027 LCT Report,2026-04-29
Maple Creek,PGAE,Humboldt,,in,,Final 2027 LCT Report,2026-04-29
Low Gap,PGAE,Humboldt,,out,,Final 2027 LCT Report,2026-04-29
Wildwood,PGAE,Humboldt,,out,,Final 2027 LCT Report,2026-04-29
Cottonwood,PGAE,Humboldt,,out,,Final 2027 LCT Report,2026-04-29
Trinity,PGAE,Humboldt,,out,,Final 2027 LCT Report,2026-04-29
Ridge Cabin,PGAE,Humboldt,,out,,Final 2027 LCT Report,2026-04-29
Mendocino,PGAE,North Coast/North Bay,,in,,Final 2027 LCT Report,2026-04-29
Indian Valley,PGAE,North Coast/North Bay,,in,,Final 2027 LCT Report,2026-04-29
Eagle Rock,PGAE,North Coast/North Bay,,in,,Final 2027 LCT Report,2026-04-29
Highlands,PGAE,North Coast/North Bay,,in,,Final 2027 LCT Report,2026-04-29
Homestake,PGAE,North Coast/North Bay,,in,,Final 2027 LCT Report,2026-04-29
Willits,PGAE,North Coast/North Bay,,in,,Final 2027 LCT Report,2026-04-29
Laytonville,PGAE,North Coast/North Bay,,in,,Final 2027 LCT Report,2026-04-29
Lakeville,PGAE,North Coast/North Bay,,in,,Final 2027 LCT Report,2026-04-29
Tulucay,PGAE,North Coast/North Bay,,in,,Final 2027 LCT Report,2026-04-29
Ignacio,PGAE,North Coast/North Bay,,in,,Final 2027 LCT Report,2026-04-29
Cortina,PGAE,North Coast/North Bay,,out,,Final 2027 LCT Report,2026-04-29
Vaca Dixon,PGAE,North Coast/North Bay,,out,,Final 2027 LCT Report,2026-04-29
Crockett,PGAE,North Coast/North Bay,,out,,Final 2027 LCT Report,2026-04-29
Rio Oso,PGAE,Sierra,,in,,Final 2027 LCT Report,2026-04-29
Palermo,PGAE,Sierra,,in,,Final 2027 LCT Report,2026-04-29
Pease,PGAE,Sierra,,in,,Final 2027 LCT Report,2026-04-29
Drum,PGAE,Sierra,,in,,Final 2027 LCT Report,2026-04-29
Spaulding,PGAE,Sierra,,in,,Final 2027 LCT Report,2026-04-29
Tamarack,PGAE,Sierra,,in,,Final 2027 LCT Report,2026-04-29
Brighton,PGAE,Sierra,,in,,Final 2027 LCT Report,2026-04-29
Gold Hill,PGAE,Sierra,,in,,Final 2027 LCT Report,2026-04-29
Lodi,PGAE,Sierra,,in,Lodi 230 kV is in Sierra; the Lodi 60 kV bus is also in the Stockton Lockeford sub-area,Final 2027 LCT Report,2026-04-29
Table Mountain,PGAE,Sierra,,out,,Final 2027 LCT Report,2026-04-29
Caribou,PGAE,Sierra,,out,,Final 2027 LCT Report,2026-04-29
Summit Metering Station,PGAE,Sierra,,out,,Final 2027 LCT Report,2026-04-29
Eight Mile,PGAE,Sierra,,out,,Final 2027 LCT Report,2026-04-29
Lake,PGAE,Sierra,,out,,Final 2027 LCT Report,2026-04-29
Tracy,PGAE,Stockton,Tesla-Bellota,in,,Final 2027 LCT Report,2026-04-29
Salado,PGAE,Stockton,Tesla-Bellota,in,,Final 2027 LCT Report,2026-04-29
Manteca,PGAE,Stockton,Tesla-Bellota,in,,Final 2027 LCT Report,2026-04-29
Schulte,PGAE,Stockton,Tesla-Bellota,in,,Final 2027 LCT Report,2026-04-29
Bellota,PGAE,Stockton,Tesla-Bellota,in,"Bellota 115 kV is in the Tesla-Bellota sub-area; Bellota 230 kV is out (of Stockton and of Sierra). Every queue POI at this node is 115 kV, so the node is encoded in",Final 2027 LCT Report,2026-04-29
Industrial,PGAE,Stockton,Lockeford,in,,Final 2027 LCT Report,2026-04-29
Lockeford,PGAE,Stockton,Lockeford,out,Lockeford is the source station of the Lockeford 60 kV sub-area and is listed as out; also out of Sierra,Final 2027 LCT Report,2026-04-29
Sobrante,PGAE,Greater Bay Area,,in,also listed as out of North Coast/North Bay,Final 2027 LCT Report,2026-04-29
Moraga,PGAE,Greater Bay Area,,in,,Final 2027 LCT Report,2026-04-29
Lambie SW Sta,PGAE,Greater Bay Area,,in,,Final 2027 LCT Report,2026-04-29
Lambie Switching Station,PGAE,Greater Bay Area,,in,,Final 2027 LCT Report,2026-04-29
Contra Costa,PGAE,Greater Bay Area,,in,"Contra Costa P.P. in the report",Final 2027 LCT Report,2026-04-29
Kelso,PGAE,Greater Bay Area,,in,,Final 2027 LCT Report,2026-04-29
