@id,@type,@lat,@lon,name,voltage,operator,substation
368173858,node,37.8092396,-120.2996240,Moccasin Creek Power House,,,
368174426,node,41.9854190,-122.3602971,Fall Creek Powerhouse,,,
1515105640,node,38.7474344,-121.2493250,Central Utilities Plant,,,
4199809190,node,37.7543759,-122.4782690,21st Avenue Substation,,,distribution
4214350591,node,37.7527592,-122.5047413,Noriega Substation,,,distribution
4675367242,node,37.1391711,-121.6202781,Geocache in Electrical Box,,,minor_distribution
6894320584,node,40.5712025,-122.3644990,T2933L,,,
7221425253,node,38.9139964,-121.0189791,Mountain Quarries Substation,,,
9345288210,node,34.0341613,-118.2830280,Distributing Station 31,34500;4800,Los Angeles Department of Water and Power,distribution
10839031950,node,37.8019613,-122.4651758,Battery Substation,,,
10895335660,node,37.8264986,-122.2164340,Wood Substation,,Pacific Gas and Electric Company,yes
12790430622,node,37.8544962,-122.2795273,Russell Substation,,PGE,
4630372,way,37.4178138,-122.0671333,Ames Substation,115000,Pacific Gas and Electric Company,transition
23805620,way,37.2255899,-121.7439528,Metcalf Substation,500000;230000;115000,Pacific Gas and Electric Company,transmission
23823577,way,37.2446077,-121.7957750,Edenvale,115000,Pacific Gas and Electric Company,transmission
23837624,way,37.7120521,-121.5647373,Tesla Substation,500000;230000,Pacific Gas and Electric Company,
23837627,way,37.7155046,-121.5669346,Tesla Substation,115000,Pacific Gas and Electric Company,yes
23988495,way,37.0530047,-121.0205078,Los Banos Substation,500000;230000,Pacific Gas and Electric Company,
24049353,way,37.7672618,-121.6165591,Ralph Substation,,Pacific Gas and Electric Company,generation
24049455,way,37.7979179,-121.5807052,Tracy Substation,500000;230000,Western Area Power Administration,
24064448,way,38.1247013,-121.8301278,Birds Landing Switching Station,230000,Pacific Gas and Electric Company,transmission
24064449,way,38.1234890,-121.8291623,Russell Substation,230000,,generation
24064886,way,38.0587470,-121.3768414,Eight Mile Substation,230000,Pacific Gas and Electric Company,
24168995,way,37.3409379,-121.9014665,San Jose Substation B,115000,Pacific Gas and Electric Company,
24283011,way,37.6934358,-121.6951878,Livermore Substation,230000;115000,Western Area Power Administration,
24294714,way,37.5830081,-122.3192431,San Mateo Substation,230000;115000,Pacific Gas and Electric Company,
24314687,way,37.6219397,-122.4467361,Sneath Lane Substation,60000;1200;2400,Pacific Gas and Electric Company,distribution
24333232,way,35.4029429,-119.4522985,Midway Substation,500000;230000,Pacific Gas and Electric Company,
24388861,way,39.1206016,-122.2231973,Cortina Substation,230000;115000,,
24396811,way,36.8002613,-121.7690896,Dolan Road Substation,115000,Pacific Gas and Electric Company,minor_distribution
24396970,way,36.7631266,-121.7347465,Castroville Substation,115000,Pacific Gas and Electric Company,minor_distribution
24397013,way,36.6820576,-121.6514791,Salinas Substation,115000;60000,,
24397698,way,36.9520512,-121.7604186,Green Valley Substation,115000,Pacific Gas and Electric Company,minor_distribution
24400937,way,35.2161759,-120.8472939,Diablo Canyon,500000,Pacific Gas and Electric Company,generation
24401024,way,35.2160115,-120.8511175,Diablo Canyon,230000,,generation
24606412,way,37.6056261,-122.3915473,Millbrae Substation,115000;60000;13800;12000;4000,Pacific Gas and Electric Company,transmission
24657439,way,37.5113456,-122.3401624,Ralston Substation,60000,Pacific Gas and Electric Company,
25453503,way,32.9179868,-117.2190783,Peñasquitos Substation,230000;138000;69000,San Diego Gas & Electric,transmission
25720848,way,32.6650617,-116.9867618,Proctor Valley Substation,138000,,distribution
25793704,way,37.4928765,-122.1378730,Ravenswood Substation,230000;115000,Pacific Gas and Electric Company,transmission
25797771,way,37.6533808,-122.4030565,East Grand Substation,115000,Pacific Gas and Electric Company,
26254174,way,32.9582981,-117.1088663,Azuaga Street Substation,,,
26587310,way,32.9587616,-117.2206664,North City West Substation,69000,San Diego Gas & Electric,distribution
27340751,way,34.2811367,-118.9030822,Moorpark Substation,220000;66000;16000,Southern California Edison,transmission
27503684,way,36.1139936,-115.2134403,Decatur substation,230000;138000;69000,,
27593176,way,33.8423262,-118.1204944,Lucas Substation (electricity),66000,Southern California Edison,distribution
27672789,way,37.4571123,-122.2861374,Jefferson Substation,230000;60000,Pacific Gas and Electric Company,yes
27710070,way,36.0532812,-115.0425772,Warm Springs Substation,138000,NV Energy,
27786664,way,36.0850662,-115.0861424,Russell Substation,69000,NV Energy,yes
27878203,way,37.4370572,-122.2421566,Woodside Substation,60000,Pacific Gas and Electric Company,
27925546,way,37.3261316,-122.0754437,Monta Vista Substation,230000;115000,Pacific Gas and Electric Company,distribution
27925549,way,37.3240031,-122.0732623,Monta Vista Substation (lower yard),115000;60000,Pacific Gas and Electric Company,distribution
28517608,way,38.7074224,-121.1610611,Folsom Substation,,Western Area Power Administration,generation
28566617,way,38.5872830,-121.4179873,Hurley Substation,230000,Sacramento Municipal Utility District,distribution
28875096,way,37.5008218,-121.9865669,Newark Substation,230000;115000,Pacific Gas and Electric Company,transmission
28875097,way,37.5027226,-121.9816204,Newark Distribution Substation,230000,Pacific Gas and Electric Company,transmission
29175070,way,33.6649231,-117.7685585,Santiago Substation,220000;66000;12000,Southern California Edison,transmission
29399992,way,37.7037524,-122.4094087,Martin Substation,230000;115000;60000;12000,Pacific Gas and Electric Company,transmission
29426718,way,38.2508462,-122.5810974,Lakeville Substation,230000,Pacific Gas and Electric Company,transmission
29989554,way,38.7616011,-121.2640540,Berry Street Receiving Station,230000;60000,Roseville Electric,
30036269,way,38.7443011,-121.1616444,Horseshoe Substation,,Pacific Gas and Electric Company,
30045395,way,33.5976509,-117.7490005,Borrego Substation,66000;12000,Southern California Edison,distribution
30050587,way,33.5126117,-117.6662800,Capistrano Substation,,San Diego Gas & Electric,
30410527,way,38.7635707,-121.2640420,Atlantic Substation,230000;115000;60000;12000,Pacific Gas and Electric Company,
30567721,way,34.4859441,-118.1196772,Vincent Substation,500000;220000,Southern California Edison,
30620967,way,34.5501806,-117.4361920,Adelanto Converter Station,500000,Intermountain Power Agency,converter
30636431,way,37.6917506,-122.4559637,Daly City Substation,115000;12000;7200,Pacific Gas and Electric Company,distribution
30755899,way,39.5551324,-121.6451687,Table Mountain Substation,500000;230000;115000,Pacific Gas and Electric Company,
30877246,way,37.8908861,-122.2922250,Solano Substation,12000;4000,Pacific Gas and Electric,distribution
30979896,way,38.8347041,-121.0946845,Newcastle Switchyard,,Pacific Gas and Electric,generation
30995423,way,33.5497273,-117.6280692,Margarita Substation,138000,,distribution
31173635,way,34.2214825,-118.1871012,Gould Substation,220000;66000,Southern California Edison,
31369697,way,37.2809465,-122.0153775,Saratoga Substation,230000,Pacific Gas and Electric Company,
31503319,way,34.0731087,-118.3973768,Beverly Substation,66000;16000;4000,Southern California Edison,distribution
31779344,way,34.2051762,-118.2105809,La Canada Substation,,,distribution
31809170,way,32.9937908,-117.0776605,Rancho Carmel Substation,69000,San Diego Gas & Electric,distribution
32008208,way,34.1578695,-118.2802232,Airway Substation,230000;69000,Glendale Water and Power,transmission
32012723,way,34.1541085,-118.3395745,Hollywood Way Distributing Station,66000,City of Burbank,distribution
32020824,way,34.2592830,-118.3213128,Distributing Station 72,34500;4800,Los Angeles Department of Water and Power,distribution
32050965,way,38.6575814,-121.1368126,Gold Hill Substation,230000;115000,Pacific Gas and Electric Company,
32217118,way,38.5482365,-121.4077518,Brighton Substation,230000;115000,Pacific Gas and Electric Company,transmission
32223005,way,33.8481378,-118.0974269,Del Amo Substation,220000;66000,Southern California Edison,transmission
32526610,way,38.6503056,-121.4863559,Natomas Substation,230000,Sacramento Municipal Utility District,transmission
32547223,way,38.7137793,-121.4792194,Elverta Substation,230000,Western Area Power Administration,transmission
32547487,way,38.5451944,-121.7340935,Davis Substation,115000,Pacific Gas and Electric Company,distribution
32663174,way,34.1793184,-118.5437398,Receiving Station U - Tarzana,230000,Los Angeles Department of Water and Power,yes
32693136,way,34.1934604,-118.5189904,LADWP Distributing Station No. 127,34500;4800,Los Angeles Department of Water and Power,distribution
32695399,way,34.1654270,-118.5256303,DISTRIBUTING STATION 78,34500;4800,Los Angeles Department of Water and Power,distribution
32707508,way,37.5160275,-121.2307996,Westley Substation,230000,Modesto Irrigation District;Turlock Irrigation District,
32707873,way,37.6393820,-120.9197458,Claus Station,,Modesto Irrigation District,yes
32707934,way,37.6682334,-120.9172755,Parker Substation,230000,Modesto Irrigation District,transmission
32710411,way,38.3730069,-121.3534169,Elk Grove Substation,230000,Sacramento Municipal Utility District,transmission
32719176,way,38.4895694,-121.4700404,Pocket Substation,230000,Sacramento Municipal Utility District,transmission
32719874,way,38.7525965,-121.2510276,Hardrock Substation,,Roseville Electric,
32728060,way,34.2579771,-118.4931730,LADWP Distributing Station No. 92,34500;4800,Los Angeles Department of Water and Power,distribution
32794290,way,38.6557350,-121.0594484,Clarksville Substation,115000,Pacific Gas and Electric Company,distribution
32818047,way,34.1935935,-118.4841197,LADWP Distributing Station No. 60,34500;4800,Los Angeles Department of Water and Power,distribution
32844093,way,34.2716136,-118.4852011,LADWP Distributing Station No. 142,34500;4800,Los Angeles Department of Water and Power,distribution
32943234,way,38.3442084,-121.1238678,Rancho Seco Substation,230000,Sacramento Municipal Utility District,
32943573,way,39.0239342,-121.7231221,O'Banion Substation,230000,Western Area Power Administration,transmission
33046461,way,38.0767942,-122.5403588,Ignacio Substation,230000,Pacific Gas and Electric Company,
33046902,way,37.8984659,-122.5247928,Alto Substation,,PACIFIC GAS AND ELECTRIC COMPANY,yes
33059334,way,38.1613083,-122.3809863,Skaggs Island,115000,Pacific Gas and Electric Company,minor_distribution
33068219,way,38.0808738,-122.1374133,Bahia Substation,230000,,
33068400,way,38.1381217,-122.2091136,Parkway Substation,,Pacific Gas and Electric Company,
33068511,way,38.2163273,-122.1115989,Cordelia Substation,,Pacific Gas and Electric Company,distribution
33068597,way,38.2363184,-122.0968041,Hale Substation,,Pacific Gas and Electric Company,minor_distribution
33106247,way,37.9054592,-122.2082408,Sobrante Substation,230000;115000;12000;7200,Pacific Gas and Electric Company,transmission
33108052,way,37.8477991,-122.1611735,Moraga Substation,230000;115000;13200;12000,Pacific Gas and Electric Company,transmission
33111585,way,37.6714440,-122.1595919,Grant Substation,115000,Pacific Gas and Electric Company,
33111643,way,37.6248148,-122.1170695,Eastshore Substation,230000;115000,Pacific Gas and Electric Company,
33111645,way,37.6321853,-122.1019142,Mount Eden Substation,115000,Pacific Gas and Electric Company,
33292212,way,38.2478308,-122.2679071,Tulucay Substation,230000;115000,Pacific Gas and Electric Company,transmission
33604800,way,34.0406913,-117.3206273,Vista Substation,220000,Southern California Edison,
33605206,way,33.9985870,-117.6785183,Chino Substation,220000;66000;12000,Southern California Edison,transmission
33808384,way,34.4221008,-118.5750053,Saugus Substation,220000;66000;16000,Southern California Edison,transmission
33833507,way,38.5086450,-122.2144254,Monticello Substation,115000,Pacific Gas and Electric Company,minor_distribution
34229001,way,38.5230579,-121.9944302,Putah Creek Substation,115000,Pacific Gas and Electric Company,transmission
35115839,way,37.7773801,-122.4138578,Mission Substation,115000;12000;4000,Pacific Gas and Electric Company,transmission
35407649,way,37.9454586,-122.3811407,Standard Oil 5 Substation,115000,,
35479377,way,38.0027466,-122.2082843,Christie Substation,115000;60000;13200,Pacific Gas and Electric Company,transmission
35602439,way,37.9939090,-122.1299929,Martinez Substation,115000,,
35640786,way,38.0197579,-122.0618121,Tidewater Substation,230000,Pacific Gas and Electric Company,industrial
