key,sheet_status,net_mw,storage_mw,current_cod,ia_status,deliverability,tpd_group,poi,county,utility,project_name,cluster,node_key,poi_base,report,queue_position
PUBLIC:22,ACTIVE,38.0,38.0,2024-04-01 07:00:00,Executed,PARTIAL CAPACITY,GROUP D,BIRDS LANDING 230 KV,SOLANO,PGAE,MONTEZUMA (HIGH WINDS III),AMEND 39,BIRDS LANDING,BIRDS LANDING,PUBLIC,22
PUBLIC:32,ACTIVE,193.8,131.6,2030-10-31 07:00:00,Executed,PARTIAL CAPACITY,GROUP B,BOULEVARD EAST SUBSTATION 138 KV,SAN DIEGO,SDGE,TULE WIND,SERIAL LGIP,BOULEVARD EAST,BOULEVARD EAST SUBSTATION,PUBLIC,32
PUBLIC:54,ACTIVE,119.9,119.9,2027-06-30 07:00:00,Executed,FULL CAPACITY,,PANOCHE SUBSTATION,FRESNO,PGAE,MIDWAY PEAKING,SERIAL LGIP,PANOCHE,PANOCHE SUBSTATION,PUBLIC,54
PUBLIC:61,ACTIVE,73.27,18.5,2023-02-28 08:00:00,Executed,FULL CAPACITY,,HELM-KERMAN 70 KV LINE,FRESNO,PGAE,FRESNO COGENERATION EXPANSION PROJECT,AMEND 39,HELM KERMAN,HELM-KERMAN,PUBLIC,61
PUBLIC:72,ACTIVE,500.0,500.0,2028-12-31 08:00:00,Executed,FULL CAPACITY,,PROPOSED LEE LAKE SUBSTATION 500 KV,RIVERSIDE,SDGE,BLUEWATER RENEWABLE ENERGY STORAGE,SERIAL LGIP,PROPOSED LEE LAKE,PROPOSED LEE LAKE SUBSTATION,PUBLIC,72
PUBLIC:81,ACTIVE,52.01,47.4465,2027-11-30 08:00:00,Executed,ENERGY ONLY,GROUP A,GEYSERS #17-FULTON 230 KV LINE,LAKE,PGAE,BOTTLE ROCK POWER,SERIAL LGIP,GEYSERS FULTON,GEYSERS #17-FULTON,PUBLIC,81
PUBLIC:96,ACTIVE,600.0,300.0,2026-07-05 07:00:00,Executed,PARTIAL CAPACITY,GROUP A,TEHACHAPI CONCEPTUAL SUBSTATION #1,KERN,SCE,CPC WEST,SERIAL LGIP,TEHACHAPI CONCEPTUAL,TEHACHAPI CONCEPTUAL SUBSTATION #1,PUBLIC,96
PUBLIC:100,ACTIVE,120.0,120.0,2030-10-15 07:00:00,Executed,FULL CAPACITY,,VINCENT SUBSTATION 230KV,KERN,SCE,WINDSTAR I ALTERNATE,SERIAL LGIP,VINCENT,VINCENT SUBSTATION,PUBLIC,100
PUBLIC:124,ACTIVE,600.0,150.0,2027-06-01 07:00:00,Executed,PARTIAL CAPACITY,GROUP B,IMPERIAL VALLEY SUBSTATION 230 KV,IMPERIAL,SDGE,SILVER RIDGE MOUNT SIGNAL,SERIAL LGIP,IMPERIAL VALLEY,IMPERIAL VALLEY SUBSTATION,PUBLIC,124
PUBLIC:138,ACTIVE,150.0,90.0,2030-02-01 08:00:00,Executed,FULL CAPACITY,,DEVERS SUBSTATION 220 KV,RIVERSIDE,SCE,SANDSTORM WIND POWER ,SERIAL LGIP,DEVERS,DEVERS SUBSTATION,PUBLIC,138
PUBLIC:222,ACTIVE,78.0,54.0,2012-01-29 08:00:00,Executed,PARTIAL CAPACITY,GROUP D,BIRDS LANDING 230 KV,SOLANO,PGAE,MONTEZUMA II,TC,BIRDS LANDING,BIRDS LANDING,PUBLIC,222
PUBLIC:268,ACTIVE,145.0,40.0,2027-04-28 07:00:00,Executed,FULL CAPACITY,,TESLA-MANTECA 115KV LINE VIA SCHULTE SWITCHYARD,SAN JOAQUIN,PGAE,TRACY COMBINED-CYCLE POWER PLANT,SERIAL LGIP,TESLA MANTECA VIA SCHULTE,TESLA-MANTECA,PUBLIC,268
PUBLIC:272,ACTIVE,123.0,73.8,2025-12-30 08:00:00,Executed,FULL CAPACITY,GROUP A,HENRIETTA 70 KV,KINGS,PGAE,AMERICAN KINGS SOLAR,TC,HENRIETTA,HENRIETTA,PUBLIC,272
PUBLIC:297,ACTIVE,66.0,66.0,2027-12-11 08:00:00,Executed,FULL CAPACITY,GROUP A,NEENACH-BAILEY 66KV LINE,LOS ANGELES,SCE,ALTA VISTA SUNTOWER GENERATING STATION,TC,NEENACH BAILEY,NEENACH-BAILEY,PUBLIC,297
PUBLIC:356,ACTIVE,40.0,40.0,2028-02-20 08:00:00,Executed,FULL CAPACITY,,TAFT-CUYAMA #1 70KV LINE,SAN LUIS OBISPO,PGAE,CUYAMA SOLAR,TC,TAFT CUYAMA,TAFT-CUYAMA #1,PUBLIC,356
PUBLIC:378,ACTIVE,120.0,3.0,2023-09-01 07:00:00,Executed,FULL CAPACITY,,LOS ESTEROS 115 KV,SANTA CLARA,PGAE,LOS ESTEROS CRITICAL ENERGY FACILITY EXPANSION,TC,LOS ESTEROS,LOS ESTEROS,PUBLIC,378
PUBLIC:493,ACTIVE,265.44,238.989,2030-05-31 07:00:00,Executed,PARTIAL CAPACITY,,OCOTILLO SWITCHYARD 500 KV,IMPERIAL,SDGE,OCOTILLO EXPRESS,C01,OCOTILLO,OCOTILLO SWITCHYARD,PUBLIC,493
PUBLIC:506,ACTIVE,299.6,255.7,2029-03-31 07:00:00,Executed,PARTIAL CAPACITY,GROUP B,WHIRLWIND SUBSTATION 230KV,KERN,SCE,ROSAMOND WEST SOLAR,C01,WHIRLWIND,WHIRLWIND SUBSTATION,PUBLIC,506
PUBLIC:539,ACTIVE,20.0,20.0,2025-04-01 07:00:00,Executed,ENERGY ONLY,,SALADO-NEWMAN #1 60KV LINE,STANISLAUS,PGAE,CROW CREEK SOLAR 1 (FKA: FRONTIER SOLAR 1) (FKA AS SCATEC WESTSIDE SOLAR RANCH I AND STANISLAUS PV - PHASE 1),SGIP,SALADO NEWMAN,SALADO-NEWMAN #1,PUBLIC,539
PUBLIC:606,ACTIVE,20.0,0.0,2012-05-31 07:00:00,Executed,FULL CAPACITY,,SCHULTE SWITCHING STATION 115KV BUS,SAN JOAQUIN,PGAE,TRACY - ADDITIONAL CAPACITY,C02,SCHULTE,SCHULTE SWITCHING STATION,PUBLIC,606
