,count,count,count,sum,sum,sum
sheet_status,ACTIVE,COMPLETED,WITHDRAWN,ACTIVE,COMPLETED,WITHDRAWN
cluster,,,,,,
,0,1,0,0.0,520.0,0.0
AMEND 39,2,21,36,111.0,3770.0,7449.0
C01,2,5,18,565.0,362.0,4870.0
C02,1,12,44,20.0,1369.0,7976.0
C03,1,7,40,153.0,787.0,10404.0
C04,5,13,171,674.0,728.0,28250.0
C05,1,5,70,20.0,380.0,13953.0
C06,3,10,48,70.0,755.0,7566.0
C07,6,12,64,442.0,874.0,10107.0
C08,9,24,88,1987.0,4090.0,11767.0
C09,11,18,96,1991.0,2998.0,18343.0
C10,14,9,66,5056.0,1196.0,9732.0
C11,17,10,67,2869.0,2402.0,17132.0
C12,30,8,98,11614.0,1600.0,28895.0
C13,36,3,108,10140.0,257.0,31733.0
C14,104,0,255,34742.0,0.0,70710.0
FT,1,6,12,5.0,16.0,52.0
ISP,2,5,17,770.0,491.0,1524.0
PRE- AMEND. 39,0,4,4,0.0,2231.0,3470.0
SERIAL LGIP,9,27,314,2481.0,5870.0,91296.0
SGIP,2,21,71,40.0,379.0,1304.0
SGIP-TC,1,11,50,20.0,208.0,943.0
TC,5,20,27,427.0,4379.0,4863.0
