county,active_projects,active_mw,active_storage_mw,withdrawn_projects,withdrawn_mw,withdrawn_storage_mw,completed_projects,completed_mw,completed_storage_mw,withdrawal_rate_by_count,withdrawal_rate_by_mw
KERN,42.0,11171.8,8095.5,285.0,48552.8,11584.8,47.0,5975.9,1547.0,0.8,0.7
LOS ANGELES,22.0,7436.0,6980.9,112.0,23204.0,9503.6,11.0,1466.0,0.0,0.8,0.7
RIVERSIDE,17.0,6032.0,5972.0,106.0,33943.8,13505.4,19.0,7139.0,3251.0,0.7,0.7
FRESNO,26.0,4883.3,4511.7,168.0,20355.7,9012.0,15.0,1579.0,209.0,0.8,0.8
CLARK,14.0,4696.6,4682.6,36.0,12641.5,1040.9,5.0,747.0,350.0,0.7,0.7
LA PAZ,3.0,4550.0,3521.0,7.0,4950.0,3200.0,1.0,500.0,267.0,0.6,0.5
SAN BERNARDINO,13.0,3205.0,2988.0,135.0,42161.8,10028.2,15.0,1920.5,499.2,0.8,0.9
KINGS,8.0,2479.1,1813.8,65.0,8287.0,2678.4,17.0,1505.1,767.0,0.7,0.7
MERCED,10.0,2455.0,2209.9,36.0,4253.4,1667.2,3.0,121.0,0.0,0.7,0.6
MONTEREY,3.0,2370.0,1626.8,9.0,1602.0,1087.2,4.0,1212.5,992.5,0.6,0.3
IMPERIAL,5.0,2290.4,1814.0,40.0,11377.1,2295.6,9.0,1347.0,550.0,0.7,0.8
SAN JOAQUIN,9.0,2075.2,1950.2,44.0,8951.6,3236.3,6.0,525.8,177.0,0.7,0.8
NYE,7.0,1994.0,1984.0,17.0,2988.0,110.9,1.0,50.0,0.0,0.7,0.6
VENTURA,4.0,1900.0,1900.0,10.0,3482.0,1627.2,0.0,0.0,0.0,0.7,0.6
YUMA,6.0,1750.0,1512.5,11.0,4755.0,400.0,2.0,790.0,435.0,0.6,0.7
SAN DIEGO,9.0,1556.4,1405.5,165.0,23461.4,10382.1,29.0,3401.0,1248.7,0.8,0.8
CONTRA COSTA,5.0,1550.0,1550.0,39.0,8691.5,3539.1,8.0,1022.6,200.0,0.8,0.8
SOLANO,7.0,1406.8,1292.0,30.0,7162.3,3015.0,4.0,628.0,0.0,0.7,0.8
ALAMEDA,9.0,1336.5,1170.7,39.0,6070.7,3349.5,6.0,1255.9,400.0,0.7,0.7
TECATE,2.0,1272.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TULARE,5.0,1210.0,1095.0,31.0,5096.7,3466.4,9.0,499.8,270.0,0.7,0.7
MARICOPA,5.0,1120.0,1100.0,26.0,11362.0,6313.2,7.0,872.3,10.0,0.7,0.9
SAN LUIS OBISPO,2.0,1040.0,40.0,36.0,23336.3,4659.4,7.0,981.7,99.7,0.8,0.9
SANTA CLARA,7.0,943.0,826.0,17.0,2799.0,2799.0,1.0,75.0,75.0,0.7,0.7
INYO,2.0,750.0,750.0,10.0,836.2,0.0,0.0,0.0,0.0,0.8,0.5
CLARK/NYE,2.0,700.0,500.0,1.0,300.0,150.0,0.0,0.0,0.0,0.3,0.3
STANISLAUS,3.0,420.0,420.0,20.0,2137.9,743.1,3.0,360.0,177.0,0.8,0.7
ORANGE,2.0,400.0,400.0,22.0,6658.6,2772.0,0.0,0.0,0.0,0.9,0.9
SAN FRANCISCO,1.0,250.0,250.0,3.0,243.8,0.0,1.0,20.0,0.0,0.6,0.5
SAN MATEO,1.0,250.0,250.0,10.0,958.3,958.1,1.0,12.6,0.0,0.8,0.8
