poi_base,county,utility,active_projects,active_mw,active_storage_mw,full_capacity_mw,energy_only_mw,withdrawn_projects,withdrawn_mw,completed_mw,churn_ratio
WINDHUB SUBSTATION,KERN,SCE,8.0,4050.0,2469.8,1500.0,1150.0,27.0,9229.0,1768.0,1.6
DELANEY-COLORADO RIVER,LA PAZ,DCRT,1.0,3200.0,2171.0,0.0,0.0,0.0,0.0,500.0,0.0
RED BLUFF SUBSTATION,RIVERSIDE,SCE,8.0,2867.0,2913.7,1867.0,0.0,11.0,9384.5,1256.5,2.3
WHIRLWIND SUBSTATION,KERN,SCE,10.0,2318.9,1715.9,2019.3,0.0,15.0,3472.3,1340.1,1.0
MOSS LANDING,MONTEREY,PGAE,2.0,2250.0,1539.6,2250.0,0.0,2.0,1000.0,0.0,0.4
LOS BANOS,MERCED,PGAE,6.0,1830.0,1738.0,1753.6,0.0,2.0,200.0,0.0,0.1
MOHAVE SUBSTATION,CLARK,SCE,4.0,1770.0,1770.0,1770.0,0.0,2.0,775.0,0.0,0.4
ANTELOPE SUBSTATION,LOS ANGELES,SCE,5.0,1720.0,1289.5,1100.0,300.0,11.0,1080.0,20.0,0.6
COLORADO RIVER SUBSTATION,RIVERSIDE,SCE,5.0,1715.0,1744.6,280.0,935.0,24.0,6664.0,2035.0,1.8
TROUT CANYON SUBSTATION,CLARK,GLW,5.0,1650.0,1692.0,1100.0,300.0,0.0,0.0,0.0,0.0
TRANQUILITY,FRESNO,PGAE,8.0,1575.0,1356.8,825.0,200.0,1.0,200.0,0.0,0.1
HOODOO WASH SWITCHYARD,YUMA,SDGE,5.0,1550.0,1321.0,350.0,1200.0,5.0,1407.0,790.0,0.6
MOORPARK SUBSTATION,VENTURA,SCE,3.0,1500.0,1516.5,1000.0,0.0,4.0,1475.0,0.0,1.0
GATES,KINGS,PGAE,3.0,1496.1,899.0,496.1,1000.0,1.0,500.0,400.0,0.3
VINCENT SUBSTATION,LOS ANGELES,SCE,2.0,1450.0,1455.0,1450.0,0.0,7.0,2645.0,9.5,1.8
MIDWAY,KERN,PGAE,4.0,1385.0,1278.2,1350.0,35.0,4.0,685.0,0.0,0.5
EAST COUNTY SUBSTATION,TECATE,SDGE,2.0,1272.8,0.0,300.0,972.8,0.0,0.0,0.0,0.0
NORTH GILA - IMPERIAL VALLEY,IMPERIAL,SDGE,1.0,1150.0,1150.0,1150.0,0.0,0.0,0.0,0.0,0.0
MANNING-MIDWAY,FRESNO,PGAE,1.0,1150.0,1150.0,1150.0,0.0,0.0,0.0,0.0,0.0
GATES,FRESNO,PGAE,4.0,1025.1,971.1,1025.1,0.0,0.0,0.0,0.0,0.0
COLORADO RIVER - PALO VERDE,LA PAZ,SCE,1.0,1000.0,1010.9,0.0,1000.0,0.0,0.0,0.0,0.0
DIABLO CANYON,SAN LUIS OBISPO,PGAE,1.0,1000.0,0.0,1000.0,0.0,2.0,2900.0,0.0,2.9
RIO HONDO SUBSTATION,LOS ANGELES,SCE,3.0,1000.0,1015.4,1000.0,0.0,5.0,2347.0,0.0,2.4
ARCO,KERN,PGAE,5.0,914.9,890.9,164.9,100.0,3.0,500.0,60.0,0.5
TESLA,SAN JOAQUIN,PGAE,2.0,900.0,921.3,900.0,0.0,0.0,0.0,0.0,0.0
IMPERIAL VALLEY SUBSTATION,IMPERIAL,SDGE,3.0,875.0,425.0,0.0,0.0,19.0,4824.0,1347.0,2.2
DELANEY SUBSTATION,MARICOPA,DCRT,3.0,850.0,880.7,450.0,400.0,4.0,3250.0,0.0,3.8
KRAMER SUBSTATION,SAN BERNARDINO,SCE,4.0,850.0,696.6,450.0,200.0,5.0,820.0,332.0,0.7
VACA-DIXON,SOLANO,PGAE,3.0,800.0,891.6,800.0,0.0,1.0,700.0,0.0,0.9
LAGUNA BELL SUBSTATION,LOS ANGELES,SCE,3.0,750.0,756.3,750.0,0.0,2.0,400.0,0.0,0.5
TROUT CANYON SUBSTATION,INYO,GLW,2.0,750.0,765.1,0.0,500.0,0.0,0.0,0.0,0.0
GAMEBIRD SUBSTATION,NYE,GLW,3.0,744.0,760.8,200.0,544.0,0.0,0.0,0.0,0.0
VINCENT SUBSTATION,KERN,SCE,2.0,620.0,648.0,620.0,0.0,4.0,443.1,182.7,0.6
WALNUT SUBSTATION,LOS ANGELES,SCE,2.0,600.0,600.0,600.0,0.0,1.0,200.0,500.5,0.2
TEHACHAPI CONCEPTUAL SUBSTATION #1,KERN,SCE,1.0,600.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
OTAY MESA SWITCHYARD,SAN DIEGO,SDGE,2.0,550.0,569.2,0.0,550.0,7.0,1280.0,1183.0,0.7
CONTRA COSTA PP,CONTRA COSTA,PGAE,2.0,550.0,564.2,300.0,0.0,0.0,0.0,0.0,0.0
PROPOSED LEE LAKE SUBSTATION,RIVERSIDE,SDGE,1.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0
PITTSBURG-TESLA #1,CONTRA COSTA,PGAE,1.0,500.0,504.0,500.0,0.0,0.0,0.0,0.0,0.0
LUGO SUBSTATION,SAN BERNARDINO,SCE,1.0,500.0,512.6,500.0,0.0,1.0,200.0,0.0,0.4
LATHROP WELLS SUBSTATION,NYE,GLW,1.0,500.0,516.8,0.0,500.0,0.0,0.0,0.0,0.0
PITTSBURG,CONTRA COSTA,PGAE,2.0,500.0,532.6,500.0,0.0,4.0,1531.0,0.0,3.1
BEATTY SUBSTATION,NYE,GLW,1.0,500.0,515.1,0.0,500.0,0.0,0.0,0.0,0.0
TESLA-NEWARK #1,ALAMEDA,PGAE,1.0,500.0,504.0,500.0,0.0,0.0,0.0,0.0,0.0
GATES-MIDWAY,KINGS,PGAE,1.0,500.0,500.0,0.0,0.0,3.0,800.0,0.0,1.6
VALLEY SUBSTATION,RIVERSIDE,SCE,1.0,500.0,507.6,500.0,0.0,1.0,110.0,680.0,0.1
SPRINGVILLE SUBSTATION,TULARE,SCE,1.0,460.0,345.0,0.0,460.0,5.0,1502.0,0.0,3.3
DEVERS SUBSTATION,RIVERSIDE,SCE,2.0,450.0,390.0,450.0,0.0,12.0,2729.0,1250.0,1.6
BOULEVARD EAST SUBSTATION,SAN DIEGO,SDGE,3.0,413.8,355.3,200.0,0.0,9.0,649.4,0.0,1.6
LAMBIE,SOLANO,PGAE,1.0,400.0,417.3,400.0,0.0,1.0,400.0,0.0,1.0
VESTAL SUBSTATION,TULARE,SCE,2.0,400.0,400.0,400.0,0.0,5.0,1039.0,300.0,1.5
LA CIENEGA SUBSTATION,LOS ANGELES,SCE,1.0,400.0,405.8,400.0,0.0,2.0,580.0,0.0,1.4
TROUT CANYON SUBSTATION,CLARK/NYE,GLW,1.0,400.0,200.0,400.0,0.0,0.0,0.0,0.0,0.0
ETIWANDA SUBSTATION,SAN BERNARDINO,SCE,1.0,400.0,405.7,400.0,0.0,3.0,2100.0,100.0,4.2
CHINO SUBSTATION,SAN BERNARDINO,SCE,1.0,400.0,403.4,400.0,0.0,3.0,1160.0,0.0,2.9
LITEHIPE SUBSTATION,LOS ANGELES,SCE,1.0,400.0,405.5,400.0,0.0,0.0,0.0,0.0,0.0
EL NIDO SUBSTATION,LOS ANGELES,SCE,1.0,400.0,405.7,400.0,0.0,1.0,150.0,0.0,0.4
MANDALAY SWITCHYARD,VENTURA,SCE,1.0,400.0,409.0,400.0,0.0,0.0,0.0,0.0,0.0
SUNCREST - OCOTILLO,SAN DIEGO,SDGE,1.0,400.0,313.9,0.0,400.0,2.0,607.9,0.0,1.5
TESLA,ALAMEDA,PGAE,3.0,380.0,365.1,380.0,0.0,0.0,0.0,400.0,0.0
RECTOR SUBSTATION,TULARE,SCE,2.0,350.0,366.2,350.0,0.0,3.0,750.0,0.0,2.1
METCALF,SANTA CLARA,PGAE,1.0,350.0,354.9,350.0,0.0,0.0,0.0,75.0,0.0
RANCHO SECO-BELLOTA #1,SAN JOAQUIN,PGAE,1.0,350.0,356.6,350.0,0.0,0.0,0.0,0.0,0.0
CIELO AZUL SUBSTATION,LA PAZ,DCRT,1.0,350.0,376.0,0.0,350.0,2.0,2500.0,0.0,7.1
INNOVATION-DESERT VIEW,CLARK,GLW,1.0,350.0,350.0,350.0,0.0,0.0,0.0,0.0,0.0
LOS ESTEROS,SANTA CLARA,PGAE,3.0,323.0,206.0,323.0,0.0,1.0,250.0,0.0,0.8
INNOVATION SUBSTATION,CLARK/NYE,GLW,1.0,300.0,300.0,0.0,0.0,1.0,300.0,0.0,1.0
SCE OWNED ELDORADO BUS,CLARK,SCE,1.0,300.0,300.0,0.0,0.0,1.0,256.8,0.0,0.9
GATES-TEMPLETON,FRESNO,PGAE,1.0,300.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0
MIRA LOMA SUBSTATION,SAN BERNARDINO,SCE,1.0,300.0,313.0,300.0,0.0,5.0,2310.0,0.0,7.7
VIEJO SUBSTATION,ORANGE,SCE,1.0,300.0,302.4,300.0,0.0,0.0,0.0,0.0,0.0
WHEELER RIDGE,KERN,PGAE,1.0,300.0,310.6,0.0,300.0,0.0,0.0,300.0,0.0
WESTLY-QUINTO,STANISLAUS,PGAE,1.0,300.0,365.1,0.0,0.0,0.0,0.0,0.0,0.0
MUSTANG,KINGS,PGAE,1.0,300.0,300.0,0.0,0.0,1.0,153.3,0.0,0.5
ANTELOPE VALLEYSUBSTATION,LOS ANGELES,SCE,1.0,300.0,302.4,300.0,0.0,0.0,0.0,0.0,0.0
PISGAH SUBSTATION,SAN BERNARDINO,SCE,1.0,300.0,313.0,0.0,0.0,9.0,4920.0,0.0,16.4
OCOTILLO SWITCHYARD,IMPERIAL,SDGE,1.0,265.4,239.0,0.0,0.0,0.0,0.0,0.0,0.0
WEBER,SAN JOAQUIN,PGAE,1.0,260.0,268.1,260.0,0.0,0.0,0.0,45.0,0.0
CALCITE SUBSTATION,SAN BERNARDINO,SCE,2.0,255.0,256.0,55.0,0.0,3.0,421.0,0.0,1.6
MARTIN,SAN MATEO,PGAE,1.0,250.0,250.0,250.0,0.0,1.0,250.0,0.0,1.0
ELDORADO SUBSTATION,CLARK,SCE,1.0,250.0,256.3,250.0,0.0,7.0,3812.0,0.0,15.2
HASSAYAMPA COMMON BUS,MARICOPA,SDGE,1.0,250.0,250.0,0.0,250.0,2.0,665.0,872.3,0.6
MARTIN,SAN FRANCISCO,PGAE,1.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
SCE PORTION OF ELDORADO SUBSTATION,CLARK,SCE,1.0,250.0,256.3,0.0,250.0,0.0,0.0,0.0,0.0
CORTINA,COLUSA,PGAE,2.0,230.0,230.0,80.0,0.0,0.0,0.0,0.0,0.0
BIRDS LANDING,SOLANO,PGAE,3.0,206.8,92.0,90.8,0.0,2.0,300.0,0.0,1.4
KRAMER SUBSTATION,KERN,SCE,1.0,200.0,113.0,0.0,0.0,4.0,895.0,0.0,4.5
SANGER,FRESNO,PGAE,1.0,200.0,203.7,200.0,0.0,0.0,0.0,0.0,0.0
GREEN VALLEY,SANTA CRUZ,PGAE,1.0,200.0,203.7,200.0,0.0,0.0,0.0,0.0,0.0
HINSON SUBSTATION,LOS ANGELES,SCE,1.0,200.0,200.0,200.0,0.0,5.0,1304.0,0.0,6.5
BORDEN,MADERA,PGAE,1.0,200.0,203.2,0.0,200.0,1.0,200.0,50.0,0.8
LOS BANOS-PANOCHE #1,MERCED,PGAE,1.0,200.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
TROUT CANYON SUBSTATION,NYE,GLW,1.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0
WILSON,MERCED,PGAE,1.0,200.0,203.7,200.0,0.0,1.0,250.0,0.0,1.2
ROADWAY SUBSTATION,SAN BERNARDINO,SCE,2.0,200.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
HOODOO WASH - NORTH GILA,YUMA,SDGE,1.0,200.0,208.5,0.0,200.0,0.0,0.0,0.0,0.0
SCHULTE,SAN JOAQUIN,PGAE,1.0,200.0,213.6,0.0,0.0,1.0,450.0,0.0,2.2
LAMONT,KERN,PGAE,2.0,190.0,51.4,0.0,100.0,2.0,200.0,0.0,1.0
NEWARK,ALAMEDA,PGAE,1.0,180.0,252.0,180.0,0.0,0.0,0.0,0.0,0.0
MENDOTA SUBSTATION,FRESNO,PGAE,4.0,160.0,160.0,160.0,0.0,4.0,420.0,60.0,1.9
WHIRLWIND SUB,KERN,SCE,1.0,153.0,100.0,0.0,0.0,1.0,160.0,341.3,0.3
QUINTO,MERCED,PGAE,1.0,150.0,158.6,150.0,0.0,0.0,0.0,0.0,0.0
VINCENT - PEARBLOSSOM,LOS ANGELES,SCE,1.0,150.0,153.5,150.0,0.0,0.0,0.0,0.0,0.0
TESLA-MANTECA,SAN JOAQUIN,PGAE,1.0,145.0,40.0,145.0,0.0,0.0,0.0,0.0,0.0
SLOAN CANYON SWITCHING STATION,CLARK,GLW,1.0,126.6,126.6,126.6,0.0,3.0,648.0,0.0,5.1
EXCELSIOR,FRESNO,PGAE,1.0,125.0,127.4,0.0,0.0,0.0,0.0,0.0,0.0
HENRIETTA,KINGS,PGAE,1.0,123.0,73.8,123.0,0.0,0.0,0.0,0.0,0.0
LLAGAS-GILROY FOODS,SANTA CLARA,PGAE,1.0,120.0,124.3,0.0,120.0,0.0,0.0,0.0,0.0
COBURN-BASIC ENERGY,MONTEREY,PGAE,1.0,120.0,124.3,0.0,120.0,0.0,0.0,0.0,0.0
FULTON,SONOMA,PGAE,1.0,120.0,121.6,120.0,0.0,2.0,400.0,0.0,3.3
PANOCHE SUBSTATION,FRESNO,PGAE,1.0,119.9,119.9,119.9,0.0,8.0,1082.6,401.0,2.1
CRAZY HORSE CANYON-HOLLISTER,SAN BENITO,PGAE,1.0,110.0,112.4,110.0,0.0,0.0,0.0,0.0,0.0
KERN PP,KERN,PGAE,1.0,110.0,114.3,110.0,0.0,1.0,200.0,0.0,1.8
VIERRA,SAN JOAQUIN,PGAE,1.0,101.2,102.0,101.2,0.0,0.0,0.0,0.0,0.0
SANTA TERESA,SANTA CLARA,PGAE,1.0,100.0,101.9,100.0,0.0,0.0,0.0,0.0,0.0
MIDWAY-WHEELER RIDGE #2,KERN,PGAE,1.0,100.0,0.0,0.0,100.0,1.0,229.2,150.0,0.9
COTTLE,STANISLAUS,PGAE,1.0,100.0,102.7,0.0,0.0,0.0,0.0,0.0,0.0
VALLEY SPRINGS,CALAVERAS,PGAE,1.0,100.0,101.0,100.0,0.0,0.0,0.0,0.0,0.0
SHAFTER,KERN,PGAE,1.0,100.0,101.8,0.0,100.0,0.0,0.0,0.0,0.0
JOHANNA SUBSTATION,ORANGE,SCE,1.0,100.0,102.3,100.0,0.0,4.0,1420.0,0.0,14.2
CAYETANO,ALAMEDA,PGAE,1.0,100.0,101.3,100.0,0.0,0.0,0.0,0.0,0.0
RIPON,SAN JOAQUIN,PGAE,1.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0
