node_key,poi_base,county,utility,state,legacy_active_projects,legacy_active_mw,legacy_active_storage_mw,c15_active_projects,c15_active_mw,c15_active_storage_mw,operating_projects,operating_mw,operating_storage_mw,wd_alltime_projects,wd_alltime_mw,wd_alltime_storage_mw,wd_recent_projects,wd_recent_mw,wd_recent_storage_mw,c15_withdrawn_projects,c15_withdrawn_mw,c15_withdrawn_storage_mw,wd_post_phase2_mw,c15_fcds_req_mw,pipeline_mw,pipeline_storage_mw,storage_churn,churn_alltime,c15_survival,tpd25_projects,tpd25_req_mw,tpd25_alloc_mw,tpd25_denied_mw,tpd25_unknown_mw,tpd25_unalloc_mw,tpd24_fcdsa_projects,tpd24_pcdsa_projects,wdat_active_projects,wdat_active_mw,wdat_active_storage_mw,wdat_inservice_mw,wdat_withdrawn_mw,lmp_tb4_12mo_mean,lmp_tb4_12mo_p90,lmp_months,c16_poi_status,c16_poi_note,lat,lon,osm_name,geo_score,geo_method,source_file,source_run_date,pipeline_commit,pipeline_run
WINDHUB,WINDHUB SUBSTATION,KERN,SCE,CA,8.0,4050.0,2469.77,1.0,550.0,0.0,6.0,2268.0,462.0,33.0,11044.3,2670.0,3.0,1450.0,1000.0,1.0,450.0,0.0,1250.0,0.0,4600.0,2469.77,0.34,1.61,0.55,1.0,150.0,0.0,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.0349893,-118.2808562,Windhub Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
RED BLUFF,RED BLUFF SUBSTATION,RIVERSIDE,SCE,CA,8.0,2867.0,2867.0,4.0,725.0,0.0,7.0,1620.0,731.0,16.0,10481.8,6233.0,3.0,3025.0,3025.0,0.0,0.0,0.0,3451.5,0.0,3592.0,2867.0,0.84,2.01,1.0,4.0,469.5,73.0,269.5,0.0,396.5,4.0,3.0,1.0,5.0,2.5,0.5,21.3,,,0,,,33.6988312,-115.3128761,Red Bluff Substation,0.5,ambiguous,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
VINCENT,VINCENT SUBSTATION,LOS ANGELES,SCE,CA,4.0,2070.0,2070.0,2.0,1450.0,1450.0,5.0,198.6974,179.0,17.0,5240.1,3288.96,6.0,1950.0,1950.0,3.0,1250.0,1250.0,1565.1,1450.0,3520.0,3520.0,0.53,1.41,0.54,1.0,250.0,250.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,34.4859441,-118.1196772,Vincent Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
WHIRLWIND,WHIRLWIND SUBSTATION,KERN,SCE,CA,11.0,2471.88,1774.32,3.0,801.0,801.0,18.0,2120.44,604.0,28.0,7114.93,1261.5430000000001,1.0,300.0,300.0,0.0,0.0,0.0,1364.98,801.0,3272.88,2575.3199999999997,0.09,1.32,1.0,2.0,166.0,127.5,0.0,0.0,38.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,34.8578451,-118.4373291,Whirlwind Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
DELANEY COLORADO RIVER,DELANEY-COLORADO RIVER,MARICOPA,DCRT,AZ,1.0,3200.0,2171.0,0.0,0.0,0.0,1.0,500.0,267.0,4.0,1471.996,565.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,2171.0,0.0,0.4,,1.0,450.0,0.0,450.0,0.0,450.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0,,,33.658275,-113.943197,,0.9,cec-line,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
TROUT CANYON,TROUT CANYON SUBSTATION,CLARK,GLW,NV,9.0,3000.0,2786.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1500.0,1500.0,3.0,1500.0,1500.0,3.0,1500.0,1500.0,0.0,0.0,3000.0,2786.0,0.54,0.5,0.0,2.0,625.0,0.0,625.0,0.0,625.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.7973353,-115.0115455,median of located nodes in NV CLARK,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
DRY LAKE,DRY LAKE SW STA,KINGS,PGAE,CA,0.0,0.0,0.0,8.0,2950.0,2151.9289078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.0,2950.0,2151.9289078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,AVAILABLE,New 500 kV switching station; stated as a viable POI option for C16 [2026-01-15],35.753928,-119.744631,CAISO notice 2026-01-15 'PG&E information on POI availability for Cluster 16': p,1.0,override,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MANNING,MANNING,FRESNO,LSPC,CA,0.0,0.0,0.0,8.0,2662.0,2662.0,0.0,0.0,0.0,3.0,1782.0,1782.0,3.0,1782.0,1782.0,3.0,1782.0,1782.0,0.0,2662.0,2662.0,2662.0,0.67,0.67,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,36.587580525,-120.1256622,median of located nodes in CA FRESNO,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
GATES,GATES SUBSTATION,FRESNO,PGAE,CA,7.0,2521.21,1860.26,0.0,0.0,0.0,5.0,820.0,497.0,18.0,5232.51,1830.99,4.0,838.91,838.91,2.0,449.0,449.0,1240.0,0.0,2521.21,1860.26,0.36,1.57,0.0,2.0,1396.4,396.4,1000.0,0.0,1000.0,3.0,0.0,1.0,5.2,0.0,23.2,76.6,,,0,RELIEVED,500 kV removed from Table G2-A space limitation per revised plan [2026-01-15],36.1413374,-120.1256622,Gates Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MOSS LANDING,MOSS LANDING,MONTEREY,PGAE,CA,2.0,2250.0,1506.813,1.0,199.0,199.0,3.0,932.5,932.5,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,2449.0,1705.813,0.0,0.3,1.0,1.0,1500.0,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0,,,36.80832,-121.778,"OSM: convergence of Moss Landing 115 kV line ends (ways 974695020, 974462217, 97",1.0,override,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
