county,apn,acres,ag,community,township,range_,lat,lon,km_to_poi,kings_general_plan,kern_zoning
KINGS,048380069000,10.0,N,,24,20,35.791058873552004,-119.762758932828,4.44,General Agriculture (AG40),
KINGS,048380068000,10.0,N,,24,20,35.79084996423146,-119.76501206671217,4.5,General Agriculture (AG40),
KINGS,048380059000,1.0,N,,24,20,35.791868111424925,-119.76248601727859,4.52,General Agriculture (AG40),
KINGS,048380066000,2.5,N,,24,20,35.79027522728776,-119.76769720963901,4.55,General Agriculture (AG40),
KINGS,048380067000,5.0,N,,24,20,35.7910193100438,-119.76656348914071,4.57,General Agriculture (AG40),
KINGS,046350021000,355.07,N,,24,21,35.795095434031886,-119.74641596820418,4.58,General Agriculture (AG40),
KINGS,048380060000,1.25,N,,24,20,35.792032754283134,-119.76427885159633,4.59,General Agriculture (AG40),
KINGS,048380058000,7.5,N,,24,20,35.79255981726665,-119.76280094868099,4.6,General Agriculture (AG40),
KINGS,048380065000,1.25,N,,24,20,35.79108266783392,-119.76770617248981,4.63,General Agriculture (AG40),
KINGS,048380061000,2.5,N,,24,20,35.7922862779063,-119.76538773632484,4.66,General Agriculture (AG40),
KINGS,048380064000,10.0,N,,24,20,35.790995333440016,-119.768780972078,4.66,General Agriculture (AG40),
KINGS,048380071000,1.25,N,,24,20,35.79153325513246,-119.76770800666979,4.67,General Agriculture (AG40),
KINGS,048380057000,2.5,N,,24,20,35.79280536225163,-119.76427420103957,4.67,General Agriculture (AG40),
KINGS,048380056000,3.75,N,,24,20,35.793053627636674,-119.76490866457,4.72,General Agriculture (AG40),
KINGS,048380055000,10.0,N,,24,20,35.79248624480621,-119.76704986543933,4.74,General Agriculture (AG40),
KINGS,048380041000,3.63,N,,24,20,35.79409558919586,-119.7632105234674,4.77,General Agriculture (AG40),
KINGS,048380043000,1.25,N,,24,20,35.7941152337338,-119.76448827131681,4.81,General Agriculture (AG40),
KINGS,048380070000,18.75,N,,24,20,35.79182644461061,-119.77088167429325,4.83,General Agriculture (AG40),
KINGS,048380044000,2.5,N,,24,20,35.794109431965865,-119.7654949442654,4.85,General Agriculture (AG40),
KINGS,048380042000,3.75,N,,24,20,35.794643486144835,-119.76412106356463,4.86,General Agriculture (AG40),
KINGS,048380062000,5.0,N,,24,20,35.79289084772272,-119.7694003494815,4.87,General Agriculture (AG40),
KINGS,048380054000,1.25,N,,24,20,35.79326429201346,-119.76861952449399,4.88,General Agriculture (AG40),
KINGS,048380047000,5.0,N,,24,20,35.7940988176324,-119.7672848798696,4.91,General Agriculture (AG40),
KINGS,048380045000,2.5,N,,24,20,35.794841789621685,-119.76527121758599,4.92,General Agriculture (AG40),
KINGS,048380063000,2.5,N,,24,20,35.79221808230428,-119.772181899934,4.93,General Agriculture (AG40),
KINGS,048380046000,5.0,N,,24,20,35.794835580598324,-119.76684244432082,4.97,General Agriculture (AG40),
KINGS,046350019000,320.0,Y,,24,21,35.79358811023886,-119.71929321735851,4.97,General Agriculture (AG40),
KINGS,048380040000,3.63,N,,24,20,35.79614604998464,-119.76348770637371,4.99,General Agriculture (AG40),
KINGS,048380039000,2.5,N,,24,20,35.7959357191508,-119.7643683525148,5.0,General Agriculture (AG40),
KINGS,048380048000,3.75,N,,24,20,35.79457205628768,-119.76860144899825,5.01,General Agriculture (AG40),
KINGS,048380053000,2.5,N,,24,20,35.7940826078682,-119.769972834134,5.02,General Agriculture (AG40),
KINGS,048370007000,309.05,N,,24,20,35.79688229204966,-119.76181768943435,5.02,General Agriculture (AG40),
KINGS,048380052000,7.5,N,,24,20,35.79383091187542,-119.7711488719425,5.04,General Agriculture (AG40),
KINGS,048380049000,1.25,N,,24,20,35.79500928720366,-119.7689666714286,5.07,General Agriculture (AG40),
KINGS,046350018000,320.0,Y,,24,21,35.792386939524384,-119.71383751772491,5.1,General Agriculture (AG40),
KINGS,048380036000,15.0,N,,24,20,35.7961515943569,-119.76727980897638,5.12,General Agriculture (AG40),
KINGS,046350023000,194.77,Y,,24,21,35.80035830590396,-119.74832394854499,5.17,General Agriculture (AG40),
KINGS,046350022000,160.0,Y,,24,21,35.80230285033917,-119.73886315982016,5.4,General Agriculture (AG40),
KINGS,048370018000,529.0,N,,24,20,35.796967637355486,-119.77533088710004,5.53,General Agriculture (AG40),
KINGS,046350020000,320.0,Y,,24,21,35.80098486051925,-119.71938357508489,5.71,General Agriculture (AG40),
