node_key,poi_base,lat,lon,osm_name,geo_score,geo_method
WINDHUB,WINDHUB SUBSTATION,35.0349893,-118.2808562,Windhub Substation,1.0,exact
RED BLUFF,RED BLUFF SUBSTATION,33.6988312,-115.3128761,Red Bluff Substation,0.5,ambiguous
VINCENT,VINCENT SUBSTATION,34.4859441,-118.1196772,Vincent Substation,1.0,exact
WHIRLWIND,WHIRLWIND SUBSTATION,34.8578451,-118.4373291,Whirlwind Substation,1.0,exact
DELANEY COLORADO RIVER,DELANEY-COLORADO RIVER,33.5806241,-114.8172191,Colorado River Substation,0.7,line-one-end
TROUT CANYON,TROUT CANYON SUBSTATION,,,,0.78,none
DRY LAKE,DRY LAKE SW STA,35.753928,-119.744631,CAISO notice 2026-01-15 'PG&E information on POI availability for Cluster 16': p,1.0,override
MANNING,MANNING,,,,0.67,none
GATES,GATES SUBSTATION,36.1413374,-120.1256622,Gates Substation,1.0,exact
MOSS LANDING,MOSS LANDING,36.80832,-121.778,"OSM: convergence of Moss Landing 115 kV line ends (ways 974695020, 974462217, 97",1.0,override
LUGO,LUGO,34.3658218,-117.3693963,Lugo Substation,1.0,exact
TESLA,TESLA,37.7120521,-121.5647373,Tesla Substation,1.0,exact
LOS BANOS,LOS BANOS,37.0530047,-121.0205078,Los Banos Substation,1.0,exact
COLORADO RIVER,COLORADO RIVER SUBSTATION,33.5806241,-114.8172191,Colorado River Substation,1.0,exact
VALLEY,VALLEY SWITCH,,,rejected: Valley Substation is not in NV,0.0,state-mismatch
ANTELOPE,ANTELOPE SUBSTATION,34.6858079,-118.2981161,Antelope Substation,1.0,exact
MOHAVE,MOHAVE SUBSTATION,35.1470784,-114.597151,Mohave Substation,1.0,exact
LAGUNA BELL,LAGUNA BELL SUBSTATION,33.975758,-118.1478598,Laguna Bell Substation,1.0,exact
TRANQUILITY,TRANQUILITY,36.57799,-120.40699,OSM relation 8376979 'Tranquillity Solar Project' plant centroid (Recurrent Ener,0.8,override-approx
EAST COUNTY,EAST COUNTY SUBSTATION,,,,0.8,none
HOODOO WASH,HOODOO WASH SWITCHYARD,,,,0.56,none
MOORPARK,MOORPARK SUBSTATION,34.2811367,-118.9030822,Moorpark Substation,1.0,exact
HARLAN,HARLAN SW STA,36.423475,-120.407322,"CAISO notice 2026-01-15: Harlan 500 kV Sw Sta 36°25'24.51""N 120°24'26.36""W",1.0,override
MIDWAY,MIDWAY SUBSTATION,35.4029429,-119.4522985,Midway Substation,0.5,ambiguous
CIELO AZUL,CIELO AZUL SUBSTATION,,,,0.53,none
NORTH GILA IMPERIAL VALLEY,NORTH GILA - IMPERIAL VALLEY,32.73179965,-115.1034182,North Gila Substation | Imperial Valley Substation,1.0,line-midpoint
MANNING MIDWAY,MANNING-MIDWAY,35.4029429,-119.4522985,Midway Substation,0.7,line-one-end
KRAMER,KRAMER SUBSTATION,34.9896952,-117.5421983,Kramer Substation,1.0,exact
RIO HONDO,RIO HONDO SUBSTATION,34.1050306,-117.980363,Rio Hondo Substation,1.0,exact
DIABLO CANYON,DIABLO CANYON,35.2161759,-120.8472939,Diablo Canyon,1.0,exact
COLORADO RIVER PALO VERDE,COLORADO RIVER - PALO VERDE,33.5806241,-114.8172191,Colorado River Substation,0.7,line-one-end
ARCO,ARCO,,,,0.67,none
CHINO,CHINO SUBSTATION,33.998587,-117.6785183,Chino Substation,1.0,exact
CALCITE,CALCITE SUBSTATION,,,,0.62,none
IMPERIAL VALLEY,IMPERIAL VALLEY SUBSTATION,32.7179069,-115.7155553,Imperial Valley Substation,1.0,exact
DEVERS,DEVERS SUBSTATION,33.9379937,-116.5766239,Devers Substation,1.0,exact
DELANEY,DELANEY SUBSTATION,,,,0.71,none
LOS BANOS GATES,LOS BANOS - GATES #1,36.59717105,-120.57308499999999,Los Banos Substation | Gates Substation,1.0,line-midpoint
VACA DIXON,VACA-DIXON,38.4034895,-121.9202262,Vaca Dixon Substation,1.0,exact
GAMEBIRD,GAMEBIRD SUBSTATION,36.16197,-115.89944,OSM way 439012890 'Gamebird Switchard' power=substation 230 kV (Valley Electric ,1.0,override
HASSAYAMPA,HASSAYAMPA,,,,0.63,none
LUGO PISGAH,LUGO-PISGAH,34.5737521,-116.87704595,Lugo Substation | Pisgah Switchyard,1.0,line-midpoint
MIRA LOMA,MIRA LOMA SUBSTATION,34.0080322,-117.5642244,Mira Loma Substation,0.5,ambiguous
QUINTO,QUINTO SW STA,37.119984,-121.0689671,Quinto Substation,1.0,exact
LOS ESTEROS,LOS ESTEROS,37.4272373,-121.9328297,Los Esteros Substation,1.0,exact
PISGAH,PISGAH SUBSTATION,34.7816824,-116.3846956,Pisgah Switchyard,1.0,exact
