cohort,month,at_risk,events,survival,survival_mw_weighted
C10,0,89,0,1.0,1.0
C10,1,89,3,0.9662921348314607,0.980605339875465
C10,2,86,15,0.7977528089887641,0.8728758233111428
C10,3,71,1,0.7865168539325843,0.8705171823863203
C10,4,70,0,0.7865168539325843,0.8705171823863203
C10,5,70,0,0.7865168539325843,0.8705171823863203
C10,6,70,0,0.7865168539325843,0.8705171823863203
C10,7,70,0,0.7865168539325843,0.8705171823863203
C10,8,70,0,0.7865168539325843,0.8705171823863203
C10,9,70,2,0.7640449438202247,0.861635491627419
C10,10,68,15,0.5955056179775281,0.7299282316242945
C10,11,53,4,0.550561797752809,0.6851641047884727
C10,12,49,9,0.44943820224719105,0.6018995130125969
C10,13,40,0,0.44943820224719105,0.6018995130125969
C10,14,40,0,0.44943820224719105,0.6018995130125969
C10,15,40,0,0.44943820224719105,0.6018995130125969
C10,16,40,0,0.44943820224719105,0.6018995130125969
C10,17,40,0,0.44943820224719105,0.6018995130125969
C10,18,40,0,0.44943820224719105,0.6018995130125969
C10,19,40,0,0.44943820224719105,0.6018995130125969
C10,20,40,0,0.44943820224719105,0.6018995130125969
C10,21,40,0,0.44943820224719105,0.6018995130125969
C10,22,40,0,0.44943820224719105,0.6018995130125969
C10,23,40,0,0.44943820224719105,0.6018995130125969
C10,24,40,0,0.44943820224719105,0.6018995130125969
C10,25,40,0,0.44943820224719105,0.6018995130125969
C10,26,40,1,0.43820224719101125,0.5995596411137014
C10,27,39,0,0.43820224719101125,0.5995596411137014
C10,28,39,0,0.43820224719101125,0.5995596411137014
C10,29,39,0,0.43820224719101125,0.5995596411137014
C10,30,39,2,0.4157303370786517,0.5729701877171615
C10,31,36,1,0.40418227215980024,0.5679442601893061
C10,32,35,1,0.3926342072409488,0.5585206460745772
C10,33,34,0,0.3926342072409488,0.5585206460745772
C10,34,34,0,0.3926342072409488,0.5585206460745772
C10,35,34,2,0.3695380774032459,0.544931794521138
C10,36,32,3,0.3348938826466916,0.4937301578311109
C10,37,29,2,0.31179775280898875,0.4387590754951921
C10,38,27,0,0.31179775280898875,0.4387590754951921
C10,39,27,0,0.31179775280898875,0.4387590754951921
C10,40,27,0,0.31179775280898875,0.4387590754951921
C10,41,27,0,0.31179775280898875,0.4387590754951921
C10,42,27,0,0.31179775280898875,0.4387590754951921
C10,43,27,0,0.31179775280898875,0.4387590754951921
C10,44,27,0,0.31179775280898875,0.4387590754951921
C10,45,27,0,0.31179775280898875,0.4387590754951921
C10,46,27,0,0.31179775280898875,0.4387590754951921
C10,47,27,2,0.2887016229712859,0.43750259361322824
C10,48,25,0,0.2887016229712859,0.43750259361322824
C10,49,25,1,0.2771535580524344,0.42807897949849927
C10,50,24,0,0.2771535580524344,0.42807897949849927
C10,51,23,0,0.2771535580524344,0.42807897949849927
C10,52,23,0,0.2771535580524344,0.42807897949849927
C10,53,23,0,0.2771535580524344,0.42807897949849927
C10,54,23,0,0.2771535580524344,0.42807897949849927
C10,55,23,0,0.2771535580524344,0.42807897949849927
C10,56,22,0,0.2771535580524344,0.42807897949849927
C10,57,22,0,0.2771535580524344,0.42807897949849927
C10,58,22,0,0.2771535580524344,0.42807897949849927
C10,59,22,0,0.2771535580524344,0.42807897949849927
C10,60,21,0,0.2771535580524344,0.42807897949849927
C10,61,21,0,0.2771535580524344,0.42807897949849927
C10,62,21,0,0.2771535580524344,0.42807897949849927
C10,63,21,0,0.2771535580524344,0.42807897949849927
C10,64,21,0,0.2771535580524344,0.42807897949849927
C10,65,21,0,0.2771535580524344,0.42807897949849927
C10,66,21,0,0.2771535580524344,0.42807897949849927
C10,67,21,0,0.2771535580524344,0.42807897949849927
C10,68,21,0,0.2771535580524344,0.42807897949849927
C10,69,21,0,0.2771535580524344,0.42807897949849927
C10,70,21,0,0.2771535580524344,0.42807897949849927
C10,71,21,0,0.2771535580524344,0.42807897949849927
C10,72,21,0,0.2771535580524344,0.42807897949849927
C10,73,21,0,0.2771535580524344,0.42807897949849927
C10,74,21,0,0.2771535580524344,0.42807897949849927
C10,75,21,0,0.2771535580524344,0.42807897949849927
C10,76,21,0,0.2771535580524344,0.42807897949849927
C10,77,21,0,0.2771535580524344,0.42807897949849927
C10,78,21,0,0.2771535580524344,0.42807897949849927
C10,79,20,0,0.2771535580524344,0.42807897949849927
C10,80,20,0,0.2771535580524344,0.42807897949849927
C10,81,20,0,0.2771535580524344,0.42807897949849927
C10,82,20,0,0.2771535580524344,0.42807897949849927
C10,83,20,0,0.2771535580524344,0.42807897949849927
C10,84,20,0,0.2771535580524344,0.42807897949849927
C10,85,20,0,0.2771535580524344,0.42807897949849927
