node_key,tpd_year,queue_id,project_name,allocation_group,status,mw_requested,allocation_pct,mw_allocated
ALAMITOS,2024,2127,OTROS ALAMITOS ENERGY STORAGE,D,FCDSA,,1.0,
ANTELOPE,2024,2059,J90 ENERGY STORAGE,B,FCDSA,,1.0,
ANTELOPE,2024,2062,DORIAN STORAGE,D,FCDSA,,1.0,
ANTELOPE,2025,768,BIG SKY SOLAR,A,FCDSA,120.0,1.0,120.0
ANTELOPE VALLEYSUBSTATION,2024,2064,ELION ENERGY STORAGE,D,FCDSA,,1.0,
ARCO,2024,1980,ARTEMIS,B,PCDSA,,0.24,
ARCO,2025,1587,KINGSROAD HYBRID SOLAR,A,NONE,100.0,0.0,0.0
ARCO CARNERAS,2025,2018,HIDDEN KNOLLS BESS,D,NONE,30.0,0.0,0.0
BEATTY,2025,2144,ROCK VALLEY ENERGY CENTER,B,NONE,500.0,0.0,0.0
BELLOTA,2025,1904,NORTHEAST CENTRAL VALLEY,D,NONE,300.0,0.0,0.0
BIRDS LANDING,2025,1850,HIGH WINDS STORAGE,D,NONE,100.0,0.0,0.0
BORDEN,2025,1934,LOTUS SOLAR 2,B,NONE,200.0,0.0,0.0
BOULEVARD EAST,2024,2173,DESERT JEWEL STORAGE,A,FCDSA,,1.0,
BOULEVARD EAST,2025,32,TULE WIND,B,NONE,131.6,0.0,0.0
CALCITE,2024,2097,SIENNA SOLAR 2,D,FCDSA,,1.0,
CHINO,2024,2114,DIRAC,D,FCDSA,,1.0,
CHOWCHILLA,2024,1977,VALETUDO ENERGY STORAGE,B,FCDSA,,1.0,
CIELO AZUL,2025,2022,SOCORRO PEAK SOLAR,A,NONE,350.0,0.0,0.0
COLORADO RIVER,2024,1761,GRACE ENERGY CENTER,A,PCDSA,,0.1045,
COLORADO RIVER,2024,1761,GRACE ENERGY CENTER,A,PCDSA,,0.1045,
COLORADO RIVER,2024,2048,TWIN PALMS SOLAR,A,FCDSA,,1.0,
COLORADO RIVER,2025,1761,GRACE ENERGY CENTER,A,NONE,170.0,0.0,0.0
COLORADO RIVER,2025,1761,GRACE ENERGY CENTER,A,NONE,70.0,0.0,0.0
COLORADO RIVER,2025,1761,GRACE ENERGY CENTER,A,NONE,50.0,0.0,0.0
COLORADO RIVER,2025,2033,CARMINE,A,NONE,285.0,0.0,0.0
